Date,Workout,Result,Prescribed,Pukie,Work performed,Work time,Formatted Result,Notes,Description
2016-01-25,Back Squat 5-5-5-5-5-5-5-5,2993.709642,true,false,23090,,"6600 lbs | 95 lbs, 115 lbs, 135 lbs, 155 lbs, 175 lbs, 195 lbs, 215 lbs, and 235 lbs",Back smoked from deadlift day before and thruster wod right before. ,"Sets
5 Back Squats | 95 lbs
5 Back Squats | 115 lbs
5 Back Squats | 135 lbs
5 Back Squats | 155 lbs
5 Back Squats | 175 lbs
5 Back Squats | 195 lbs
5 Back Squats | 215 lbs
5 Back Squats | 235 lbs"
2016-01-25,5 RFT: 200 m and Thrusters,698000,true,false,65708,698000,11 mins 38 secs,"","5 rounds of:
Run, 200 m
10 Thrusters, 115 lbs"
2016-01-24,Deadlift 10-10-5-5-5-5-5-11,5388.6773556,true,false,34351,,"11880 lbs | 135 lbs, 135 lbs, 185 lbs, 205 lbs, 235 lbs, 255 lbs, 285 lbs, and 305 lbs","","Sets
10 Deadlifts | 135 lbs
10 Deadlifts | 135 lbs
5 Deadlifts | 185 lbs
5 Deadlifts | 205 lbs
5 Deadlifts | 235 lbs
5 Deadlifts | 255 lbs
5 Deadlifts | 285 lbs
11 Deadlifts | 305 lbs"
2016-01-24,"Chipper: Overhead Squats, Kettlebell Swings, Weighted Box Step-ups, and 3 more",,true,false,86509,,Completed,"Group wod. 100 reps per.  Todd, Drew, Me","33 Overhead Squats, 95 lbs
33 Kettlebell Swings, 53 lbs
33 Weighted Box Step-ups, 105 lbs, 20 in
33 V-ups
33 Pull-ups
33 Snatches, 95 lbs"
2016-01-22,"AMRAP 8 mins: Ring Push-ups, Medicine Ball Goblet Squats, and Double Unders",5.167,true,false,36478,480000,5 rounds + 5 Ring Push-ups | 280 reps,"","8:00 AMRAP:
10 Ring Push-ups
15 Medicine Ball Goblet Squats, 20 lbs
30 Double Unders"
2016-01-22,Every 1 min for 16 mins: Squat Clean,1306.3460256,true,false,19526,960000,2880 lbs,"","Every 1 min for 16 mins:
1 Squat Clean | 105 lbs
1 Squat Clean | 115 lbs
1 Squat Clean | 125 lbs
1 Squat Clean | 135 lbs
1 Squat Clean | 145 lbs
1 Squat Clean | 155 lbs
1 Squat Clean | 165 lbs
1 Squat Clean | 175 lbs
1 Squat Clean | 185 lbs
1 Squat Clean | 195 lbs
1 Squat Clean | 205 lbs
1 Squat Clean | 215 lbs
1 Squat Clean | 225 lbs
1 Squat Clean | 235 lbs
1 Squat Clean | 245 lbs
1 Squat Clean | 255 lbs"
2016-01-22,Squat Clean : 1 Rep Max,115.66605435,true,false,1561,,255.0 lbs | 255 lbs,"","Sets
1 Squat Clean | 255 lbs"
2016-01-20,Split Jerk : 1 Rep Max,111.13013065,true,false,487,,245 lbs | 245 lbs,"","Sets
1 Split Jerk | 245 lbs"
2016-01-20,Every 1:30 for 21 mins: Shoulder-to-Overhead,1143.0527724,true,false,5005,1260000,2520 lbs,"","Every 1:30 for 21 mins:
1 Shoulder-to-Overhead | 115 lbs
1 Shoulder-to-Overhead | 125 lbs
1 Shoulder-to-Overhead | 135 lbs
1 Shoulder-to-Overhead | 145 lbs
1 Shoulder-to-Overhead | 155 lbs
1 Shoulder-to-Overhead | 165 lbs
1 Shoulder-to-Overhead | 175 lbs
1 Shoulder-to-Overhead | 185 lbs
1 Shoulder-to-Overhead | 195 lbs
1 Shoulder-to-Overhead | 205 lbs
1 Shoulder-to-Overhead | 215 lbs
1 Shoulder-to-Overhead | 225 lbs
1 Shoulder-to-Overhead | 235 lbs
1 Shoulder-to-Overhead | 245 lbs"
2016-01-20,"""FGB Style"" - Kettlebell Swings, Dips, Sit-ups, and 5 more",276,true,false,0,960000,276 reps | 138 and 138 reps,"","2 rounds, 1 min per station:
Kettlebell Swing, 53 lbs
Dip
Sit-up
Wall Ball, 20 lbs
Handstand Push-up
Airdyne (Calories)
Box Jump (30 in.)
Toes-to-bar"
